Well,Link_to_PDF_Well_Completion_report
"
PL 418, OER DURHAM RANCH 806, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/87c44726-8105-4c5e-b652-e52bf5f2e61d/resource/geo-doc513182-cr103173/download/%252FReport%25252f103173%25252fDocument%25252f513182%25252fcr_103173_1.pdf
"
PL 195, OER DURHAM RANCH 307, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/57b1fd77-5555-4848-90c2-c168f27eb057/resource/geo-doc519072-cr106704/download/%252FReport%25252f106704%25252fDocument%25252f519072%25252fcr_106704_1.pdf
"
PL 203, OER DURHAM RANCH 86, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/adb97c94-7bff-4739-941b-87343eee14da/resource/geo-doc520628-cr108058/download/%252FReport%25252f108058%25252fDocument%25252f520628%25252fcr_108058_1.pdf
"
PL 203, OER DURHAM RANCH 192, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/9d911e02-b4b1-4e5b-81ce-f5f91dcb8cc9/resource/geo-doc509463-cr101256/download/%252FReport%25252f101256%25252fDocument%25252f509463%25252fcr_101256_1.pdf
"
PL 203, OER DURHAM RANCH 115, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/5fc94dd5-4689-4464-9a80-a46bbab885f5/resource/geo-doc520709-cr108072/download/%252FReport%25252f108072%25252fDocument%25252f520709%25252fcr_108072_1.pdf
"
PL 203, OER DURHAM RANCH 203, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/789f3d5f-2eb3-4aa8-995a-5119d4f43487/resource/geo-doc509475-cr101259/download/%252FReport%25252f101259%25252fDocument%25252f509475%25252fcr_101259_1.pdf
"
PL 203, OER DURHAM RANCH 206, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/c577bd6d-7494-4670-8286-f3c2039c2840/resource/geo-doc509777-cr101264/download/%252FReport%25252f101264%25252fDocument%25252f509777%25252fcr_101264_1.pdf
"
PL 195, OER DURHAM RANCH 467, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/ab073f23-66b4-4684-8582-922710b78863/resource/geo-doc519311-cr106705/download/%252FReport%25252f106705%25252fDocument%25252f519311%25252fcr_106705_1.pdf
"
PL 418, OER DURHAM RANCH 800, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/cf4d3552-a50d-4f25-ab96-57dc2ed0258e/resource/geo-doc519558-cr106708/download/%252FReport%25252f106708%25252fDocument%25252f519558%25252fcr_106708_1.pdf
"
PL 418, OER DURHAM RANCH 810, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/1bd3f50f-7423-46ab-b329-b46a21e216d9/resource/geo-doc518396-cr106713/download/%252FReport%25252f106713%25252fDocument%25252f518396%25252fcr_106713_1.pdf
